,AST,STL,BLK,TOV,PF,player,position
0,6.6,1.2,0.7125,2.8625,2.7875000000000005,nikola jokic,0
1,3.414285714285714,0.8999999999999998,1.7428571428571427,3.4857142857142853,3.142857142857143,joel embiid,0
2,2.454545454545455,1.3636363636363635,2.290909090909091,1.9636363636363638,2.3636363636363633,anthony davis,0
3,1.6,1.3176470588235296,1.2999999999999996,2.1823529411764713,3.0647058823529414,andre drummond,0
4,3.483333333333334,1.0166666666666666,0.8833333333333333,2.2666666666666666,2.6,bam adebayo,0
5,6.781818181818181,0.9272727272727272,0.3272727272727272,2.8909090909090907,1.8636363636363635,damian lillard,1
6,6.457142857142856,1.5285714285714285,0.2571428571428571,3.1142857142857148,2.3428571428571425,stephen curry,1
7,8.16,1.2,0.45999999999999996,4.04,2.3600000000000003,luka doncic,1
8,4.166666666666667,0.9833333333333334,0.3,2.0166666666666666,1.7833333333333334,jamal murray,1
9,7.877777777777778,1.4277777777777778,0.5722222222222222,3.816666666666666,2.4777777777777774,james harden,1
10,4.779999999999999,1.15,1.26,3.0,3.05,giannis antetokounmpo,2
11,5.818181818181818,1.3545454545454545,1.0181818181818183,2.290909090909091,2.854545454545455,draymond green,2
12,3.6857142857142855,0.9571428571428573,0.6714285714285714,1.885714285714286,2.7857142857142856,pascal siakam,2
13,3.366666666666667,0.9666666666666668,0.5333333333333333,2.6666666666666665,2.066666666666667,zion williamson,2
14,3.994117647058824,0.7411764705882353,0.4058823529411764,2.1411764705882357,2.5529411764705885,blake griffin,2
