players,positions,AST,STL,BLK,TOV,PF
nikola jokic,0,6.6,1.2,0.7125,2.8625,20.275000000000002
joel embiid,0,3.414285714285714,0.8999999999999998,1.7428571428571427,3.4857142857142853,26.37142857142857
anthony davis,0,2.454545454545455,1.3636363636363635,2.290909090909091,1.9636363636363638,23.94545454545454
andre drummond,0,1.6,1.3176470588235296,1.2999999999999996,2.1823529411764713,13.341176470588238
bam adebayo,0,3.483333333333334,1.0166666666666666,0.8833333333333333,2.2666666666666666,15.116666666666667
damian lillard,1,6.781818181818181,0.9272727272727272,0.3272727272727272,2.8909090909090907,25.018181818181823
stephen curry,1,6.457142857142856,1.5285714285714285,0.2571428571428571,3.1142857142857148,24.20714285714286
luka doncic,1,8.16,1.2,0.45999999999999996,4.04,27.8
jamal murray,1,4.166666666666667,0.9833333333333334,0.3,2.0166666666666666,17.05
james harden,1,7.877777777777778,1.4277777777777778,0.5722222222222222,3.816666666666666,24.32777777777778
giannis antetokounmpo,2,4.779999999999999,1.15,1.26,3.0,23.349999999999998
draymond green,2,5.818181818181818,1.3545454545454545,1.0181818181818183,2.290909090909091,8.590909090909092
pascal siakam,2,3.6857142857142855,0.9571428571428573,0.6714285714285714,1.885714285714286,17.142857142857142
zion williamson,2,3.366666666666667,0.9666666666666668,0.5333333333333333,2.6666666666666665,24.46666666666667
blake griffin,2,3.994117647058824,0.7411764705882353,0.4058823529411764,2.1411764705882357,17.599999999999998
